Odlot,Ilość,"Dysponent",Trasa,Przylot,Typ,
Data,pax.,,,Data,,UWAGI
4.12.2007,,D.Tusk,Waw Bruksela Waw,4.12.2007,TU,"ANULOWANE"
7.12.2007,55(53),D.Tusk,Waw Rzym Gdańsk Waw,7.12.2007,TU,
9.12.2007,24(28),D.Tusk,Waw Gdańsk Ostrawa Waw,10.12.2007,TU,
13.12.2007,,D.Tusk,Waw Lizbona Waw,13.12.2007,TU,"ANULOWANE"
14.12.2007,,D.Tusk,Waw Bruksela Waw,14.12.2007,TU,"ANULOWANE"
3.12.2007,6(9)(12),D.Tusk,Waw Gdańsk Katowice Waw,3.12.2007,TU,
1.12.2007,5,D.Tusk,Gdańsk Waw Gdańsk,3.12.2007,TU,
11.12.2007,45,D.Tusk,Waw Berlin Waw,11.12.2007,TU,
12.12.2007,,D.Tusk,Waw Paryż Waw,12.12.2007,TU,"ANULOWANE"
12.12.2007,58(55)(55)(56),D.Tusk,Waw Paryż Lizbona Bruksela Gdańsk Waw,14.12.2007,TU,
19.12.2007,32(22),D.Tusk,Irak,19.12.2007,TU,
21.12.2007,,D.Tusk,Waw Wrocław,,TU,
